City,Model,Parameters,MAE,MSE,RMSE,MAPE
Annan,VMD+BaseNN,"K:7,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12,hidden_dim:64,learning_rate:0.0001,forecast_horizon:1",1.9476546334984164,7.502885909649768,2.739139629454798,3.8172056154867304
Annan,VMD+FAN,"K:3,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:1e-05, p_ratio:0.15, fan_units:64, forecast_horizon:1",3.6637237398045492,26.021995540035725,5.1011758977745245,7.03486808657153
Annan,VMD+FAN,"K:3,alpha:1000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:0.0001, p_ratio:0.25, fan_units:64, forecast_horizon:1",1.5696211028454015,5.551392165734117,2.356139250072906,3.1010594205894666
Annan,VMD+FAN,"K:3,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:1e-05, p_ratio:0.25, fan_units:64, forecast_horizon:1",4.820350187023763,45.1283009344244,6.71776011289659,8.972573890266501
Annan,VMD+FAN,"K:3,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.25, fan_units:64, forecast_horizon:1",1.569619870859664,5.551379038198047,2.356136464256272,3.1010640162722933
Annan,VMD+FAN,"K:3,alpha:1000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",1.63464589216181,5.9296519759462125,2.4350876731539284,3.262676261842061
Annan,VMD+FAN,"K:3,alpha:1000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:1e-05, p_ratio:0.25, fan_units:64, forecast_horizon:1",4.820357364802784,45.1284389107267,6.717770382405661,8.972588616857522
Annan,VMD+FAN,"K:3,alpha:3000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",2.780608513844738,16.4094416200066,4.0508568994728265,5.376168014735059
Annan,VMD+FAN,"K:3,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:1e-05, p_ratio:0.25, fan_units:64, forecast_horizon:1",4.923068665493752,48.86373770648347,6.990260203059931,9.119470975238688
Annan,VMD+FAN,"K:3,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",2.780614724319731,16.409511343492255,4.050865505480558,5.376177672929996
Annan,VMD+FAN,"K:3,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",1.6346372821907413,5.929634108143567,2.4350840043299464,3.26265917136038
Annan,VMD+FAN,"K:3,alpha:1000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:1e-05, p_ratio:0.15, fan_units:64, forecast_horizon:1",3.663729807309206,26.022089842638927,5.101185140988212,7.034879333157162
Annan,VMD+FAN,"K:3,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:1e-05, p_ratio:0.15, fan_units:64, forecast_horizon:1",4.146865158407906,34.341444668150025,5.860157392779653,7.940322592464994
Annan,VMD+FAN,"K:3,alpha:3000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:1e-05, p_ratio:0.25, fan_units:64, forecast_horizon:1",4.9230619214492926,48.86358624231223,6.990249369107817,9.119461341686383
Annan,VMD+FAN,"K:3,alpha:3000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.25, fan_units:64, forecast_horizon:1",2.911827546626073,17.779008882328664,4.216516202071167,5.58120460832284
Annan,VMD+FAN,"K:3,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:0.0001, p_ratio:0.25, fan_units:64, forecast_horizon:1",2.911902001921137,17.779417610404263,4.216564669301808,5.581587414444933
Annan,VMD+FAN,"K:3,alpha:3000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:1e-05, p_ratio:0.15, fan_units:64, forecast_horizon:1",4.146864327917656,34.341431106878275,5.860156235705519,7.940321090532061
Annan,VMD+FAN,"K:5,alpha:1000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",0.9704386213495664,2.5234049204367284,1.5885228737530752,2.0136106334141863
Annan,VMD+FAN,"K:5,alpha:3000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.25, fan_units:64, forecast_horizon:1",1.7744747639137477,6.532314087391604,2.555839213916166,3.4727639184054007
Annan,VMD+FAN,"K:5,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:1e-05, p_ratio:0.25, fan_units:64, forecast_horizon:1",4.078032942752839,33.408967702170756,5.780049108975698,7.463620321948074
Annan,VMD+FAN,"K:5,alpha:3000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:1e-05, p_ratio:0.25, fan_units:64, forecast_horizon:1",4.078029852118581,33.408923642344895,5.780045297603203,7.463614803596933
Annan,VMD+FAN,"K:5,alpha:1000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:0.0001, p_ratio:0.25, fan_units:64, forecast_horizon:1",1.2177640620214794,3.4323633292695277,1.85266384680803,2.4360401506289646
Annan,VMD+FAN,"K:5,alpha:1000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:1e-05, p_ratio:0.25, fan_units:64, forecast_horizon:1",3.745707908012845,28.268035537440703,5.316769276303111,6.832569376869572
